const_no,const_name,winner_name,winner_party,runner_name,runner_party,margin,status
92,KALYANI,ANUPAM BISWAS,Bharatiya Janata Party,DR. ATINDRA NATH MONDAL,All India Trinamool Congress,34792.0,Result Declared
112,KAMARHATI,MADAN MITRA,All India Trinamool Congress,ARUP CHOUDHURY (PULAK),Bharatiya Janata Party,5646.0,Result Declared
68,KANDI,GARGI DAS GHOSH,Bharatiya Janata Party,APURBA SARKAR (DAVID),All India Trinamool Congress,10335.0,Result Declared
216,KANTHI DAKSHIN,ARUP KUMAR DAS,Bharatiya Janata Party,TARUN KUMAR JANA,All India Trinamool Congress,31472.0,Result Declared
213,KANTHI UTTAR,SUMITA SINHA,Bharatiya Janata Party,DEBASIS BHUNYA,All India Trinamool Congress,20055.0,Result Declared
32,KARANDIGHI,BIRAJ BISWAS,Bharatiya Janata Party,GOUTAM PAUL,All India Trinamool Congress,19869.0,Result Declared
77,KARIMPUR,SAMARENDRANATH GHOSH,Bharatiya Janata Party,SOHAM CHAKRABORTY,All India Trinamool Congress,10185.0,Result Declared
149,KASBA,AHMED JAVED KHAN,All India Trinamool Congress,BANERJEE SANDIP,Bharatiya Janata Party,20974.0,Result Declared
244,KASHIPUR,KAMALA KANTA HANSDA,Bharatiya Janata Party,SOUMEN BELTHARIA,All India Trinamool Congress,21276.0,Result Declared
168,KASHIPUR-BELGACHHIA,RITESH TIWARI,Bharatiya Janata Party,ATIN GHOSH,All India Trinamool Congress,1651.0,Result Declared
256,KATULPUR,LAKSHMI KANTA MAJUMDAR,Bharatiya Janata Party,HARAKALI PROTIHER,All India Trinamool Congress,34367.0,Result Declared
270,KATWA,KRISHNA GHOSH,Bharatiya Janata Party,RABINDRANATH CHATTERJEE,All India Trinamool Congress,35066.0,Result Declared
223,KESHIARY,BHADRA HEMRAM,Bharatiya Janata Party,RAMJIBAN MANDI,All India Trinamool Congress,15887.0,Result Declared
235,KESHPUR,SEULI SAHA,All India Trinamool Congress,SUVENDU SAMANTA,Bharatiya Janata Party,50105.0,Result Declared
271,KETUGRAM,ANADI GHOSH,Bharatiya Janata Party,SEKH SAHONAWEZ,All India Trinamool Congress,27610.0,Result Declared
202,KHANAKUL,SUSANTA GHOSH,Bharatiya Janata Party,PALASH KUMAR ROY,All India Trinamool Congress,34483.0,Result Declared
259,KHANDAGHOSH,NABIN CHANDRA BAG,All India Trinamool Congress,GOUTAM DHARA,Bharatiya Janata Party,8284.0,Result Declared
228,KHARAGPUR,DINEN ROY,All India Trinamool Congress,TAPAN BHUYA,Bharatiya Janata Party,2872.0,Result Declared
224,KHARAGPUR SADAR,DILIP GHOSH,Bharatiya Janata Party,PRADIP SARKAR,All India Trinamool Congress,30506.0,Result Declared
109,KHARDAHA,KALYAN CHAKRABORTI,Bharatiya Janata Party,DEVADEEP PUROHIT,All India Trinamool Congress,24486.0,Result Declared
66,KHARGRAM,MITALI MAL,Bharatiya Janata Party,ASHIS MARJIT,All India Trinamool Congress,9333.0,Result Declared
215,KHEJURI,SUBRATA PAIK,Bharatiya Janata Party,RABIN CHANDRA MANDAL,All India Trinamool Congress,32690.0,Result Declared
