const_no,const_name,winner_name,winner_party,runner_name,runner_party,margin,status,const_name_cw,bjp_votes,tmc_votes,total_votes,winner_is_bjp,winner_is_tmc
121,HAROA,ABDUL MATIN MUHAMMAD,All India Trinamool Congress,PIYARUL ISLAM,All India Secular Front,49341.0,Result Declared,HAROA,41144,117591,237469,False,True
33,HEMTABAD,HARIPADA BARMAN,Bharatiya Janata Party,SATYAJIT BARMAN,All India Trinamool Congress,12361.0,Result Declared,HEMTABAD,115529,103168,239372,True,False
126,HINGALGANJ,REKHA PATRA,Bharatiya Janata Party,ANANDA SARKAR,All India Trinamool Congress,5421.0,Result Declared,HINGALGANJ,100207,94786,207071,True,False
173,HOWRAH DAKSHIN,NANDITA CHOWDHURY,All India Trinamool Congress,SHYAMAL KUMAR HATI,Bharatiya Janata Party,7828.0,Result Declared,HOWRAH DAKSHIN,92712,100540,222054,False,True
171,HOWRAH MADHYA,ARUP ROY,All India Trinamool Congress,BIPLAB KUMAR MANDAL,Bharatiya Janata Party,16083.0,Result Declared,HOWRAH MADHYA,79865,95948,193459,False,True
170,HOWRAH UTTAR,UMESH RAI,Bharatiya Janata Party,GAUTAM CHOWDHURY,All India Trinamool Congress,11250.0,Result Declared,HOWRAH UTTAR,67539,56289,133063,True,False
257,INDUS,NIRMAL KUMAR DHARA,Bharatiya Janata Party,SHYAMALI ROY BAGDI,All India Trinamool Congress,900.0,Result Declared,INDUS,108733,107833,232394,True,False
29,ISLAMPUR,AGARWAL KANAIA LAL,All India Trinamool Congress,CHITRAJIT ROY,Bharatiya Janata Party,40063.0,Result Declared,ISLAMPUR,68054,108117,185961,False,True
36,ITAHAR,MOSARAF HUSSEN,All India Trinamool Congress,SABITA BARMAN,Bharatiya Janata Party,27878.0,Result Declared,ITAHAR,70294,98172,204159,False,True
150,JADAVPUR,SARBORI MUKHERJEE,Bharatiya Janata Party,DEBABRATA MAJUMDAR (MALAY),All India Trinamool Congress,27716.0,Result Declared,JADAVPUR,106199,78483,231075,True,False
183,JAGATBALLAVPUR,ANUPAM GHOSH,Bharatiya Janata Party,SUBIR CHATTERJEE (TINKAI),All India Trinamool Congress,6671.0,Result Declared,JAGATBALLAVPUR,115608,108937,252515,True,False
106,JAGATDAL,DR. RAJESH KUMAR,Bharatiya Janata Party,SOMENATH SHYAM ICHINI,All India Trinamool Congress,20909.0,Result Declared,JAGATDAL,94351,73442,183193,True,False
76,JALANGI,BABAR ALI,All India Trinamool Congress,IANUS ALI SARKAR,Communist Party of India (Marxist),21516.0,Result Declared,JALANGI,51693,88684,253306,False,True
17,JALPAIGURI,ANANTA DEB ADHIKARY,Bharatiya Janata Party,KRISHNA DAS,All India Trinamool Congress,68805.0,Result Declared,JALPAIGURI,142987,74182,237856,True,False
