seats_flipped,party_a_final,party_b_final,party_a_majority,party_b_majority,p_min_b,p_maj_b,turnout
0,206,81,True,False,0.7146811497415513,0.1662187355548609,0.8249465255414413
2,204,83,True,False,0.8997152607559343,0.42674527873084805,0.6342372405336103
3,203,84,True,False,0.6522454715481127,0.5378189367483852,0.6474464306244194
4,202,85,True,False,0.6660987661428375,0.5256566500759171,0.8047859111392633
0,206,81,True,False,0.5246398440954206,0.30139460401633933,0.704138342128603
2,204,83,True,False,0.8324016470394819,0.393026331703558,0.6304828099187706
0,206,81,True,False,0.7335074701132718,0.1719993702473673,0.7062467571257528
0,206,81,True,False,0.5121918900237784,0.168909710906839,0.6447019240386902
2,204,83,True,False,0.8193453313126565,0.3350324405641279,0.762744766369153
0,206,81,True,False,0.6796922338747606,0.30822362760629185,0.8240471773584175
2,204,83,True,False,0.797819862400668,0.4233087217518733,0.7629108027699953
5,201,86,True,False,0.8601372635561323,0.4234612787924716,0.8998124905343746
1,205,82,True,False,0.8011586815081033,0.2864229638300589,0.7934263346603175
1,205,82,True,False,0.5938432047903561,0.5498479196194387,0.6278631326769405
1,205,82,True,False,0.7147648962553408,0.4698440257076877,0.7526353822807091
0,206,81,True,False,0.6046491853562023,0.32422481051401697,0.7337470987315837
0,206,81,True,False,0.6251908126283999,0.27909888744997086,0.8974123146856523
0,206,81,True,False,0.5568311982672693,0.20355548136967977,0.7160467682368816
2,204,83,True,False,0.7400943314048373,0.38910639867427016,0.8961616839594501
0,206,81,True,False,0.7922322825352971,0.2427250172291044,0.8719231582888504
1,205,82,True,False,0.7416302156572836,0.49237027960808327,0.6023897521011393
2,204,83,True,False,0.7826324441974833,0.32885245046192874,0.813616739574186
1,205,82,True,False,0.7082456575586321,0.3630967908900548,0.7136944730496738
1,205,82,True,False,0.766411011465702,0.3588167857316788,0.7211562412569634
0,206,81,True,False,0.5434216751424481,0.3941123896540722,0.7747401916449673
0,206,81,True,False,0.6894050309157802,0.2107876932373643,0.8240879172762575
0,206,81,True,False,0.6302364749634478,0.30722159896875045,0.6206471210417572
6,200,87,True,False,0.8100067748070493,0.507161121116394,0.8381810405310333
0,206,81,True,False,0.7448430335000945,0.2834831404794636,0.7765433198177445
0,206,81,True,False,0.5426780234691349,0.3740134937947452,0.6162317962833543
0,206,81,True,False,0.6092170317535017,0.2596858842181807,0.6664349858013745
2,204,83,True,False,0.6117331085043798,0.4729655503170086,0.795317941543233
0,206,81,True,False,0.8181709211350645,0.26313363323027805,0.6747679609213654
0,206,81,True,False,0.7037939910610871,0.35791571796853344,0.8426035924016424
0,206,81,True,False,0.713503880378508,0.2101183459671955,0.6466240015420758
2,204,83,True,False,0.8124560328200795,0.3793386268188187,0.8849414534541558
0,206,81,True,False,0.6862425549535272,0.1830306807956922,0.6696831095485509
0,206,81,True,False,0.5842599955952738,0.24836847108479762,0.8756858024970844
0,206,81,True,False,0.7215187126335834,0.18450948565148284,0.7395186869536922
1,205,82,True,False,0.8346900246387183,0.361338675458856,0.6087315510057714
5,201,86,True,False,0.8032785548863328,0.45054335944617396,0.8810099723543198
8,198,89,True,False,0.8120183069688273,0.5106342233474136,0.8584217499458918
0,206,81,True,False,0.5356694104234261,0.35466295026776645,0.7207857372871546
2,204,83,True,False,0.7763981184295242,0.4571527063285103,0.8161317704094941
0,206,81,True,False,0.8067325721636697,0.25662714153250304,0.7173500854066558
0,206,81,True,False,0.640546314836808,0.3895567464616387,0.8920958159946072
0,206,81,True,False,0.5049417347141874,0.23517697737649193,0.7615236329668468
2,204,83,True,False,0.8755848160377083,0.35369406807748427,0.6014059221636293
1,205,82,True,False,0.8662171109849306,0.1845304561896703,0.8106336765565925
1,205,82,True,False,0.7642704289712989,0.39560953306879987,0.6876018539568347
0,206,81,True,False,0.5738484712965833,0.39872426329033545,0.6439667021377682
0,206,81,True,False,0.5037336817902416,0.4555423126458406,0.6523449377400989
